eventID	eventName	primarySiteCode	primarySiteRoomCode	eventHost
132641	meeting: AFSCME Membership	8510	HD BRIDGE	Normal
132643	meeting: AFSCME Steward	8510	HD BRIDGE	Normal
132657	meeting: Riverland Council	8510	HD BRIDGE	Normal
133130	meeting: Faculty Leaders ITV	8510	HD BRIDGE	Normal
133175	meeting: Diversity Committee	SCCM	PCR3	Normal
133672	meeting: Safety Committee	8510	HD BRIDGE	Normal
137750	meeting: AASC	RVR AUST	C108	Normal
137760	meeting: AASC*	RVR AUST	C108	Normal
137946	meeting: CTE Division	8510	HD BRIDGE	Normal
137959	meeting: Business & Technology Division	8510	HD BRIDGE	Normal
137961	meeting: Trade & Industry Division	RVR AUST	C125	Normal
137971	meeting: Arts and Humanities Division	8510	HD BRIDGE	Normal
138152	class: Infectious Disease*	8510	HD BRIDGE	Normal
138212	meeting: UEE Sub Meet & Confer	8710	TP1 BRIDGE	Normal
138261	meeting: MAPE	8510	HD BRIDGE	Normal
138605	meeting: Strategic Enrollment Mgmt Team*	8510	HD BRIDGE	Normal
138720	meeting: Student Government President's	8510	HD BRIDGE	Normal
138964	class: Digital Logic Design	8510	HD BRIDGE	Normal
139126	meeting: Charting the Future	8510	HD BRIDGE	Normal
139144	meeting: SALT	SCCM	E132	Normal
139159	Meeting:SAC	SCC FBLT	B102	Normal
139184	meeting: AFSCME E-Board*	WSU	MAX158	Normal
139186	meeting: MCAC	ARCC CC	F117	Normal
139217	class: Entrepreneurial Studies	NCC	P2842	Normal
139226	class: Entrepreneurial Studies	NCC	P2842	Normal
139301	special: Common Read - Rachel Hanel (RECORD)	SCCM	P2	Normal
139305	special: CFO Forum #1	SCCM	P2	Normal
139364	meeting: Emergency Grant Team	SCC FBLT	B102	Normal
139369	meeting: Graduation Committee	8510	HD BRIDGE	Normal
139376	meeting: Employee Conversations	8510	HD BRIDGE	Normal
139391	class: Statics	UCR	ST108	Normal
139447	meeting: Week End's Update	RVR AL	201C	Normal
139464	meeting: Wellness Committee	8510	HD BRIDGE	Normal
139479	meeting: Wellness Activity	8510	HD BRIDGE	Normal
139483	class: Circuits 2	8510	HD BRIDGE	Normal
