eventID	otherSiteCode	otherSiteRoomCode
132657	8510	HD BRIDGE
132657	RVR AL	201C
132657	RVR AUST	C108
132657	RVR OWT	102
132643	8510	HD BRIDGE
132643	MSC RED WING	211
132643	UCR	ST108
132643	WSU	MAX151-P
132641	8510	HD BRIDGE
132641	MSC RED WING	215
132641	MSC WINONA	203
132641	UCR	ST108
132641	WSU	MAX158
133130	8510	HD BRIDGE
133130	ARCC CC	F117
133130	ARCC CR	C269
133130	ATC	PORT (163)
133175	SCC FBLT	B102
133175	SCCM	PCR3
133672	8510	HD BRIDGE
133672	RVR AL	201C
133672	RVR AUST	A136
133672	RVR OWT	102
137750	RVR AL	201C
137750	RVR AUST	C108
137760	RVR AL	201C
137760	RVR AUST	C108
137946	8510	HD BRIDGE
137946	RVR AL	B206
137946	RVR AUST	C125
137946	RVR OWT	102
137959	8510	HD BRIDGE
137959	RVR AL	201C
137959	RVR AUST	A136
137959	RVR OWT	102
137961	RVR AL	B206
137961	RVR AUST	C125
137971	8510	HD BRIDGE
137971	RVR AL	113
137971	RVR AUST	C124
137971	RVR OWT	130
138152	8510	HD BRIDGE
138212	8710	TP1 BRIDGE
138212	MSUM	WH117
138212	MSUM EDINA	307
138261	8510	HD BRIDGE
138261	MSC RED WING	202
138261	RVR AL	201C
138261	RVR AUST	C108
138261	UCR	ST108
138261	WSU	MAX158
138605	8510	HD BRIDGE
138605	RVR AL	B206
138605	RVR AUST	C124
138605	RVR OWT	130
138720	8510	HD BRIDGE
138720	ARCC CC	F117
138720	ARCC CR	C269
138720	ATC	179
139126	8510	HD BRIDGE
139126	ARCC CC	E202
139126	ARCC CR	C270
139126	ATC	179
139144	SCC FBLT	B102
139144	SCCM	E132
139159	SCC FBLT	B102
139159	SCCM	E132
139184	MSC RED WING	215
139184	WSU	MAX158
139217	NCC	P2842
139226	NCC	P2842
139364	SCC FBLT	B102
139364	SCCM	MTGA
139369	8510	HD BRIDGE
139369	RVR AL	201C
139369	RVR AUST	C108
139369	RVR OWT	102
139376	8510	HD BRIDGE
139376	RVR AL	B206
139376	RVR AUST	C124
139376	RVR OWT	132
139391	UCR	ST108
139447	8510	HD BRIDGE
139447	RVR AL	201C
139447	RVR AUST	C108
139447	RVR AUST	A136
139447	RVR OWT	130
139464	8510	HD BRIDGE
139464	RVR AL	201C
139464	RVR AUST	C108
139464	RVR OWT	102
139479	8510	HD BRIDGE
139479	RVR AL	B206
139479	RVR AUST	C125
139479	RVR AUST	C124
139479	RVR OWT	132
139556	RVR AL	201C
139556	RVR AUST	C108
139558	8510	HD BRIDGE
139558	RVR AL	201C
139558	RVR AUST	A136
139558	RVR OWT	102
139597	8510	HD BRIDGE
139597	RVR AL	B206
139597	RVR AUST	C124
139597	RVR OWT	132
139650	8510	HD BRIDGE
139650	RVR AUST	C125
139650	RVR OWT	130
139722	8510	HD BRIDGE
139722	RVR AL	113
139722	RVR AUST	C125
139722	RVR OWT	132
139775	8510	HD BRIDGE
